Date,Open,High,Low,Close,Volume
13-May-13,-,-,-,0.55,-
12-May-13,-,-,-,0.55,-
11-May-13,-,-,-,0.55,-
10-May-13,-,-,-,0.55,-
9-May-13,-,-,-,0.55,-
8-May-13,-,-,-,0.55,-
7-May-13,-,-,-,0.55,-
6-May-13,-,-,-,0.55,-
5-May-13,-,-,-,0.55,-
4-May-13,-,-,-,0.55,-
3-May-13,-,-,-,0.55,-
2-May-13,-,-,-,0.55,-
1-May-13,-,-,-,0.55,-
30-Apr-13,-,-,-,0.56,-
29-Apr-13,-,-,-,0.56,-
28-Apr-13,-,-,-,0.56,-
27-Apr-13,-,-,-,0.56,-
26-Apr-13,-,-,-,0.57,-
25-Apr-13,-,-,-,0.56,-
24-Apr-13,-,-,-,0.56,-
23-Apr-13,-,-,-,0.56,-
22-Apr-13,-,-,-,0.55,-
21-Apr-13,-,-,-,0.54,-
20-Apr-13,-,-,-,0.54,-
19-Apr-13,-,-,-,0.54,-
18-Apr-13,-,-,-,0.54,-
17-Apr-13,-,-,-,0.54,-
16-Apr-13,-,-,-,0.55,-
15-Apr-13,-,-,-,0.55,-
14-Apr-13,-,-,-,0.55,-
13-Apr-13,-,-,-,0.55,-
12-Apr-13,-,-,-,0.55,-
11-Apr-13,-,-,-,0.55,-
10-Apr-13,-,-,-,0.55,-
9-Apr-13,-,-,-,0.55,-
8-Apr-13,-,-,-,0.55,-
7-Apr-13,-,-,-,0.55,-
6-Apr-13,-,-,-,0.54,-
5-Apr-13,-,-,-,0.54,-
4-Apr-13,-,-,-,0.54,-
3-Apr-13,-,-,-,0.54,-
2-Apr-13,-,-,-,0.54,-
1-Apr-13,-,-,-,0.54,-
31-Mar-13,-,-,-,0.55,-
30-Mar-13,-,-,-,0.56,-
29-Mar-13,-,-,-,0.56,-
28-Mar-13,-,-,-,0.56,-
27-Mar-13,-,-,-,0.56,-
26-Mar-13,-,-,-,0.56,-
25-Mar-13,-,-,-,0.56,-
24-Mar-13,-,-,-,0.55,-
23-Mar-13,-,-,-,0.55,-
22-Mar-13,-,-,-,0.55,-
21-Mar-13,-,-,-,0.55,-
20-Mar-13,-,-,-,0.55,-
19-Mar-13,-,-,-,0.55,-
18-Mar-13,-,-,-,0.55,-
17-Mar-13,-,-,-,0.55,-
16-Mar-13,-,-,-,0.55,-
15-Mar-13,-,-,-,0.55,-
14-Mar-13,-,-,-,0.55,-
13-Mar-13,-,-,-,0.55,-
12-Mar-13,-,-,-,0.55,-
11-Mar-13,-,-,-,0.55,-
10-Mar-13,-,-,-,0.55,-
9-Mar-13,-,-,-,0.55,-
8-Mar-13,-,-,-,0.55,-
7-Mar-13,-,-,-,0.55,-
6-Mar-13,-,-,-,0.55,-
5-Mar-13,-,-,-,0.55,-
4-Mar-13,-,-,-,0.55,-
3-Mar-13,-,-,-,0.55,-
2-Mar-13,-,-,-,0.55,-
1-Mar-13,-,-,-,0.55,-
28-Feb-13,-,-,-,0.55,-
27-Feb-13,-,-,-,0.55,-
26-Feb-13,-,-,-,0.55,-
25-Feb-13,-,-,-,0.55,-
24-Feb-13,-,-,-,0.56,-
23-Feb-13,-,-,-,0.57,-
22-Feb-13,-,-,-,0.57,-
21-Feb-13,-,-,-,0.57,-
20-Feb-13,-,-,-,0.57,-
19-Feb-13,-,-,-,0.57,-
18-Feb-13,-,-,-,0.57,-
17-Feb-13,-,-,-,0.56,-
16-Feb-13,-,-,-,0.56,-
15-Feb-13,-,-,-,0.56,-
14-Feb-13,-,-,-,0.56,-
13-Feb-13,-,-,-,0.56,-
12-Feb-13,-,-,-,0.56,-
11-Feb-13,-,-,-,0.56,-
10-Feb-13,-,-,-,0.56,-
9-Feb-13,-,-,-,0.55,-
8-Feb-13,-,-,-,0.55,-
7-Feb-13,-,-,-,0.55,-
6-Feb-13,-,-,-,0.55,-
5-Feb-13,-,-,-,0.55,-
4-Feb-13,-,-,-,0.55,-
3-Feb-13,-,-,-,0.56,-
2-Feb-13,-,-,-,0.56,-
1-Feb-13,-,-,-,0.56,-
31-Jan-13,-,-,-,0.57,-
30-Jan-13,-,-,-,0.57,-
29-Jan-13,-,-,-,0.57,-
28-Jan-13,-,-,-,0.57,-
27-Jan-13,-,-,-,0.58,-
26-Jan-13,-,-,-,0.58,-
25-Jan-13,-,-,-,0.58,-
24-Jan-13,-,-,-,0.58,-
23-Jan-13,-,-,-,0.58,-
22-Jan-13,-,-,-,0.58,-
21-Jan-13,-,-,-,0.58,-
20-Jan-13,-,-,-,0.57,-
19-Jan-13,-,-,-,0.59,-
18-Jan-13,-,-,-,0.59,-
17-Jan-13,-,-,-,0.59,-
16-Jan-13,-,-,-,0.60,-
15-Jan-13,-,-,-,0.60,-
14-Jan-13,-,-,-,0.60,-
13-Jan-13,-,-,-,0.60,-
12-Jan-13,-,-,-,0.60,-
11-Jan-13,-,-,-,0.61,-
10-Jan-13,-,-,-,0.61,-
9-Jan-13,-,-,-,0.62,-
8-Jan-13,-,-,-,0.63,-
7-Jan-13,-,-,-,0.64,-
6-Jan-13,-,-,-,0.64,-
5-Jan-13,-,-,-,0.65,-
4-Jan-13,-,-,-,0.65,-
3-Jan-13,-,-,-,0.66,-
2-Jan-13,-,-,-,0.68,-
1-Jan-13,-,-,-,0.70,-
31-Dec-12,-,-,-,0.71,-
30-Dec-12,-,-,-,0.71,-
29-Dec-12,-,-,-,0.71,-
28-Dec-12,-,-,-,0.70,-
27-Dec-12,-,-,-,0.69,-
26-Dec-12,-,-,-,0.68,-
25-Dec-12,-,-,-,0.65,-
24-Dec-12,-,-,-,0.65,-
23-Dec-12,-,-,-,0.65,-
22-Dec-12,-,-,-,0.65,-
21-Dec-12,-,-,-,0.64,-
20-Dec-12,-,-,-,0.64,-
19-Dec-12,-,-,-,0.64,-
18-Dec-12,-,-,-,0.64,-
17-Dec-12,-,-,-,0.64,-
16-Dec-12,-,-,-,0.64,-
15-Dec-12,-,-,-,0.64,-
14-Dec-12,-,-,-,0.65,-
13-Dec-12,-,-,-,0.65,-
12-Dec-12,-,-,-,0.65,-
11-Dec-12,-,-,-,0.65,-
10-Dec-12,-,-,-,0.65,-
9-Dec-12,-,-,-,0.66,-
8-Dec-12,-,-,-,0.65,-
7-Dec-12,-,-,-,0.65,-
6-Dec-12,-,-,-,0.65,-
5-Dec-12,-,-,-,0.65,-
4-Dec-12,-,-,-,0.65,-
3-Dec-12,-,-,-,0.66,-
2-Dec-12,-,-,-,0.68,-
1-Dec-12,-,-,-,0.70,-
30-Nov-12,-,-,-,0.72,-
29-Nov-12,-,-,-,0.78,-
28-Nov-12,-,-,-,0.82,-
27-Nov-12,-,-,-,0.83,-
26-Nov-12,-,-,-,0.82,-
25-Nov-12,-,-,-,0.81,-
24-Nov-12,-,-,-,0.80,-
23-Nov-12,-,-,-,0.79,-
22-Nov-12,-,-,-,0.74,-
21-Nov-12,-,-,-,0.70,-
20-Nov-12,-,-,-,0.68,-
19-Nov-12,-,-,-,0.67,-
18-Nov-12,-,-,-,0.66,-
17-Nov-12,-,-,-,0.65,-
16-Nov-12,-,-,-,0.64,-
15-Nov-12,-,-,-,0.63,-
14-Nov-12,-,-,-,0.62,-
13-Nov-12,-,-,-,0.60,-
12-Nov-12,-,-,-,0.59,-
11-Nov-12,-,-,-,0.58,-
10-Nov-12,-,-,-,0.57,-
9-Nov-12,-,-,-,0.56,-
8-Nov-12,-,-,-,0.56,-
7-Nov-12,-,-,-,0.55,-
6-Nov-12,-,-,-,0.56,-
5-Nov-12,-,-,-,0.56,-
4-Nov-12,-,-,-,0.55,-
3-Nov-12,-,-,-,0.54,-
2-Nov-12,-,-,-,0.54,-
1-Nov-12,-,-,-,0.54,-
31-Oct-12,-,-,-,0.54,-
30-Oct-12,-,-,-,0.55,-
29-Oct-12,-,-,-,0.55,-
28-Oct-12,-,-,-,0.55,-
